number;question;kategoria;zestaw;rating;answer;aiAnswer;law
110;"Rzut
hali sportowej, zakropkowane miejsce z boku wym. 30.25m x 4.975m, w
którym należy zaprojektować trybuny dla 150 osób, w tym 135 uczniów, 10
VIP ów oraz 5 osób niepełnosprawnych. Dodatkowo należy wskazać miejsce
sędziego. Omówić przyjęte rozwiązania.";P;PM_Z8;;"</h2>
<p>261 WT</p>
<p>Pomieszczenia przeznaczone do jednoczesnego przebywania ponad 200
osób dorosłych lub 100 dzieci, w których miejsca do siedzenia są
ustawione w rzędach, powinny mieć:</p>
<ul>
<li><p>fotele i inne siedzenia trudno zapalne</p></li>
</ul>
<ul>
<li><p>szerokość przejść pomiędzy rzędami siedzeń nie mniejszą niż 0,45
m, przy czym odległość tę należy ustalać, biorąc pod uwagę odstęp między
stałymi elementami siedzeń;</p></li>
<li><p>3) liczbę siedzeń w rzędzie nie większą niż 16 pomiędzy
przejściami oraz 8 w rzędzie przyściennym, przy czym dopuszcza się
zwiększenie liczby miejsc w rzędach odpowiednio do 40 i 20 pod warunkiem
zwiększenia odstępu między rzędami siedzeń o 1 cm na każde dodatkowe
siedzenie odpowiednio powyżej 16 lub 8;</p></li>
<li><p>4) szerokość przejść komunikacyjnych nie mniejszą niż 1,2 m przy
liczbie osób do 150, a przy większej ich liczbie szerokość tę należy
zwiększyć proporcjonalnie o 0,6 m na 100 osób;</p></li>
<li><p>5) rzędy siedzeń lub ławek trwale umocowane do podłogi albo
siedzenia sztywno łączone ze sobą w rzędy oraz między rzędami.</p></li>
</ul></th>";;
111;"Budynek
użyteczności publicznej, który posiada różnice w poziomie posadzek.
Omówić jakie wymagania musi spełnić ze względu dostępności dla osób
niepełnosprawnych aby otrzymał pozwolenie na budowę.";P;PM_Z8;;"</h2>
<p>Rozwiązania: pochylnie (zgodnie z WT), kontrastujący kolor stopni, w
przypadku braku pochylni windy, platformy, łazienki 150x150, windy 1,1m
x1,4m, tablica przyzywowa poręcze</p></th>";;
112;"Omówić
temat oświetlenia światłem dziennym pomieszczeń.";L;PM_Z8;;"</h2>
<p>⅛ pow. podłogi w na stały pobyt ludzi, 1/12 w pozostałych.
Przesłanianie, zacienianie. Dla mieszkań dwupokojowych dla jednego
pomieszczenie 3 h 7-17, w zabudowie śródmiejskiej 1,5 h.</p></th>";;
114;"Sposoby
tymczasowego obniżenia poziomu wody gruntowej w wykopie. (Trzeba
pamiętać też o mrożeniu, tą metodę zapomniałam)";P;MZ_Z8(P+K);;"</h2>
<ul>
<li><p>pompy do odwodnienia wykopu.</p></li>
<li><p>Istnieją dwa podstawowe sposoby obniżania zwierciadła wody w
dołach fundamentowych. Pierwszy polega na pompowaniu wody bezpośrednio z
wykopu ogrodzonego ściankami szczelnymi, drugi - na wytworzeniu krzywej
depresyjnej przez pompowanie wody z urządzeń rozmieszczonych na zewnątrz
wykopu. Mogą to być studnie lub filtry igłowe</p></li>
</ul>
<p>Zwierciadło wód gruntowych można czasowo obniżyć za pomocą: drenów,
studni depresyjnych, igłofiltrów. Powyższe metody znajdują swoje
zastosowanie w następujących przypadkach:</p>
<ul>
<li><p>Drenaże (metoda powierzchniowa) – znajdują zastosowanie w
przypadku odwodnienia dużej powierzchni. Zarówno wody gruntowe, jak i
wody opadowe przejmują dreny, które przekazują ją następnie do
zbieraczy. Jest to najprostsza a zarazem najtańsza metoda.</p></li>
</ul>
<p><img alt=""obniżenie zwierciadła wód gruntowych"" src=""https://raw.githubusercontent.com/adriansstudia/UB2024-APP/main/images/image17.png"" style=""width:2.54995in;height:1.94189in""/>Obniżenie zwierciadła wód
gruntowych metodą drenażu: 1 – grunt nośny, 2 – drenaż.</p>
<ul>
<li><p>Studnie depresyjne – znajdują zastosowanie w przypadku głębokich
wykopów oraz gruntów o dużej przepuszczalności. Ilość studni uzależniona
jest od wielkości wykopu, jak i od warunków hydrogeologicznych. Metoda
polega na pompowaniu wody zbierającej się w odwiertach. W tym celu
stosuje się pompy głębinowe. Obniżenie poziomu wód gruntowych powoduje
tzw. lej depresyjny w zasięgu wykonanego wykopu.</p></li>
</ul>
<p><img alt=""obniżenie zwierciadła wód gruntowych"" src=""https://raw.githubusercontent.com/adriansstudia/UB2024-APP/main/images/image30.png"" style=""width:2.40412in;height:3.38762in""/>Obniżenie zwierciadła wód
gruntowych metodą studni: 1 – fundament, 2 – krzywa depresji, 3 –
studnie, 4 – poziom wody gruntowej, 5 – rura zbiorcza, 6 – pompa.</p>
<ul>
<li><p>Igłofiltry – znajdują zastosowanie w przypadku czasowego
odwodnienia, depresji do 4 m. Instalacja składa się z przewodów rurowych
perforowanych z filtrem umieszczonych w gruncie w rozstawie co 1 m,
połączonych z kolektorem ssącym. W zależności od warunków
hydrogeologicznych koniec igłofiltrów znajduje się na głębokości od 4 do
6 m. Woda odprowadzana jest z układu za pomocą pompy podciśnieniowej,
która zasysa wodę z igłofiltrów. Podobnie, jak w przypadku studni,
obniżenie poziomu wód gruntowych powoduje powstanie leja depresyjnego w
zasięgu wykopu.</p></li>
</ul>
<p><img alt=""obniżenie zwierciadła wód gruntowych"" src=""https://raw.githubusercontent.com/adriansstudia/UB2024-APP/main/images/image5.png"" style=""width:2.42495in;height:1.10366in""/>Obniżenie zwierciadła wód
gruntowych metodą igłofiltrów: 1 – fundament, 2 – igłofiltr, 3 – krzywa
depresji, 4 – pierwotny poziom wody, 5 – poziom wykopu.</p>
<p>UWAGA: W przypadku wysokiego poziomu wód gruntowych konieczne jest
wykonanie szczelnej hydroizolacji. Jest to istotne, ponieważ po
zaprzestaniu pompowania woda gruntowa może mieć znaczący wpływ na
trwałość fundamentów.</p>
<p>ZAMRAŻANIE GRUNTU:</p>
<p>Zastosowanie metody zamrażania gruntu ma zminimalizować ryzyko
niestabilności wykopu i zalania wodami gruntowymi. Wykorzystany zostanie
roztwór solanki, schładzany do nawet -35 st. Celsjusza. Będzie on krąży
w zamkniętym systemie rur i przenosi ciepło z gruntu do instalacji, a
później do atmosfery. Średnia temperatura zamrożonej bryły gruntu to -10
st. Celsjusza dla piasków i gliny oraz -8 st. Celsjusza dla kredy.</p>
<p>Obecnie wykonawca przygotowuje się do montażu rur, przez które
przepuszczony zostanie płyn chłodzący. Gotowa jest już konstrukcja
wzmacniająca obudowę tunelu przy wyjściu ewakuacyjnym nr 1, montowana
jest analogiczna dla wyjścia nr 2.</p>
<p>BHP podczas robót bud.:</p>
<p>teren musi być oznakowany i odgrodzony</p></th>";;
115;"Maksymalna
wysokość roboty ciesielskie i wysokość podawania elementów z
drabin";L;MZ_Z8(P+K);;"</h2>
<p>z BHP wykonywania - podawanie i wykonywanie robót z drabin do 3
m,</p>
<ul>
<li><p>ROBOTY CIESIELSKIE MONTAŻOWE MIN 2 OSOBY</p></li>
<li><p>ręczne podawanie elementów do 3m</p></li>
</ul></th>";;
116;"Podstawy
do opracowania kosztorysu inwestorskiego. paragraf 3 z
rozporządzenia";L;MZ_Z8(P+K);;"</h2>
<ul>
<li><p>dokumentacja projektowa</p></li>
<li><p>specyfikacja techniczna wykonania i odbioru robót
budowlanych</p></li>
<li><p>założenia wyjściowe do kosztorysowania</p></li>
<li><p>ceny jednostkowe robót podstawowych</p></li>
</ul></th>";;
117;"prace
przygotowawcze i plac budowy przed rozpoczęciem
budowy.";ZPB;MZ_Z8(P+K);;</h2></th>;;
118;"Jakie stosowano rodzaje deskowań i warunki odbioru deskowań ( to
pytanie wg jak dla mnie nie miało żadnego związku z budową, wg mnie
forma weryfikacji czy się umie odpowiedzieć bez przygotowania i
notatek)";ZPB;MZ_Z8(P+K);;</h2></th>;;
120;"Na
zadanym PZT- działce z domem jednorodzinnym zaprojektuj zbiornik
bezodpływowy na nieczystości do 10m3 i studnie kopaną. Podaj ich
graniczne odległości od: zabudowy, drogi i granicy
działki";P;PK_Z10(P+K);;"</h2>
<p><img src=""https://raw.githubusercontent.com/adriansstudia/UB2024-APP/main/images/image20.png"" style=""width:2.42922in;height:1.21072in""/></p></th>";;
121;"Narysuj
schemat obróbki blacharskiej kołnierza przy kominie krytym dachówką
ceramiczną";P;PK_Z10(P+K);;"</h2>
<p><img src=""https://raw.githubusercontent.com/adriansstudia/UB2024-APP/main/images/image36.png"" style=""width:2.32505in;height:0.90231in""/></p></th>";;
122;"Jakie
są podstawy prawne do obliczania powierzchni zabudowy i kubatury brutto,
zdefiniuj pojęcia Czy na pyt. 3 wskazałeś że polska norma dot.
Właściwości użytkowych w bud z 97 r.?";L;PK_Z10(P+K);;"</h2>
<p><a href=""https://www.facebook.com/groups/350678832699240/user/522436867/?__cft__%5B0%5D=AZUsPL1DQTbiToW8ozjZcEl29K6AljhbZ4kZu77qiWAsFTngg5SMxSgD8_6NL0gLCRey10yMOEC8kpXJzCdVQi7aJMrIU6fxqojpV9220PaolrRTVl9AVz9ZOV-JaE8UUA94zSS48W6g9pMLfdxtt8POBYz52lNEdOHFINLdyH_M_RRQRvMRhqknzQgcZNfJxHM&amp;__tn__=R%5D-R""><u>Michal
Florek</u></a></p>
<p>Zadowoliła ich odpowiedź, że kubaturę brutto mamy w WT koło definicji
pow. wewnętrznej budynku a pow. zabudowy można odnaleźć (ogólnie) w
normach. Plus oczywiście wyjaśnienie pojęć</p>
<ul>
<li><p>Zgodnie z: Normą PN-ISO 9836:1997 Właściwości użytkowe w
budownictwie - Określanie i obliczanie wskaźników powierzchniowych i
Kubaturowych</p></li>
<li><p><strong><mark>i WT</mark></strong></p></li>
</ul></th>";;
123;"Pyt.
projektowe- opisać problematykę usytuowania wentylacji mechanicznej na
dachu płaskim między dwoma dachami dwuspadowymi (warunki techniczne oraz
problemy praktyczne- np.śnieg) oraz na jakiej podstawie wyznaczono ilość
miejsc parkingowych (na podstawie WZ)";ZPP;PK_Z10(P+K);;</h2></th>;;
124;"Pyt.
z praktyki- zdefiniować ustrój ścianowo- szkieletowy i opisać jak
wyglądało w praktyce wznoszenie kondygnacji w tego typu budynku
wielorodzinnym";ZPB;PK_Z10(P+K);;</h2></th>;;
126;"orysować
do rysunku warstwy ścian, stropów, tarasu";P;MP_Z11;;"</h2>
<p><img src=""https://raw.githubusercontent.com/adriansstudia/UB2024-APP/main/images/image27.png"" style=""width:2.40838in;height:1.20033in""/></p>
<p><img src=""https://raw.githubusercontent.com/adriansstudia/UB2024-APP/main/images/image3.png"" style=""width:2.47088in;height:1.23148in""/></p></th>";;
127;"Pytanie
o pozwolenie na użytkowanie -kiedy trzeba i co trzeba dołączyć do
wniosku";L;MP_Z11;;"</h2>
<ul>
<li><p>od art. 55 PB</p></li>
</ul></th>";;
128;"Pytanie
co to jest i jak się liczy powierzchnię biologicznie
czynną";L;MP_Z11;;"</h2>
<p>WT par 3:</p>
<p>terenie biologicznie czynnym – należy przez to rozumieć teren o
nawierzchni urządzonej w sposób zapewniający naturalną wegetację roślin
i retencję wód opadowych, a także 50% powierzchni tarasów i stropodachów
z taką nawierzchnią oraz innych powierzchni zapewniających naturalną
wegetację roślin, o powierzchni nie mniejszej niż 10 m2 , oraz wodę
powierzchniową na tym terenie</p>
<p>WT par 39:</p>
<p>§ 39. [Powierzchnia terenu biologicznie czynnego]</p>
<p>Na działkach budowlanych, przeznaczonych pod zabudowę
wielorodzinną,</p>
<p>budynki opieki zdrowotnej (z wyjątkiem przychodni) oraz oświaty i</p>
<p>wychowania co najmniej 25% powierzchni działki należy urządzi􀅿
jako</p>
<p>powierzchnię terenu biologicznie czynnego, jeżeli inny procent nie
wynika z</p>
<p>ustaleń􀈡 miejscowego planu zagospodarowania przestrzennego.</p></th>";;
130;"Typologie
mieszkań w budynku wielorodzinnym.";P;PM_Z12;;"</h2>
<p><a href=""https://www.facebook.com/groups/350678832699240/user/1673692863/?__cft__%5B0%5D=AZV-UXY8dJ5MbY_7503g2WaKlnkrcwG4jbc8sqzP2IT7cOJnnzhK3ftX4auhWWQ27S5U-I75zhbPTw7vkSLjR6YBlajoiSD40catPkSEzr-TPht6AQtXH980ueUEpJ-JxXxa_9NX5AYytr3lFVD7SIB-7KGWa6eHJS1bgvQ8rz8pjDZbHMXTXikPVbvVPnaNJLI&amp;__tn__=R%5D-R""><u>Natalia
Staniszewska</u></a> 1. Dotyczy jakie są rodzaje zabudowy ? Galeriowiec
klatkowiec itd?</p>
<p><a href=""https://www.facebook.com/groups/350678832699240/user/100000915794428/?__cft__%5B0%5D=AZV-UXY8dJ5MbY_7503g2WaKlnkrcwG4jbc8sqzP2IT7cOJnnzhK3ftX4auhWWQ27S5U-I75zhbPTw7vkSLjR6YBlajoiSD40catPkSEzr-TPht6AQtXH980ueUEpJ-JxXxa_9NX5AYytr3lFVD7SIB-7KGWa6eHJS1bgvQ8rz8pjDZbHMXTXikPVbvVPnaNJLI&amp;__tn__=R%5D-R""><u>Katarzyna
Płaczek</u></a> nie, chodziło o mieszkania bardziej. Kawalerka, 2
pokoje, wielopoziomowe. Plus szkice.</p></th>";;
131;Omówić dźwigi -;P;PM_Z12;;"</h2>
<p>Budynek użyteczności publicznej, budynek mieszkalny wielorodzinny,
budynek zamieszkania zbiorowego, z wyłączeniem budynków zamieszkania
zbiorowego na terenach zamkniętych, oraz każdy inny budynek mający
najwyższą kondygnację z pomieszczeniami przeznaczonymi na pobyt więcej
niż 50 osób, w których różnica poziomów posadzek pomiędzy pierwszą a
najwyższą kondygnacją nadziemną, niestanowiącą drugiego poziomu w
mieszkaniu dwupoziomowym, przekracza 9,5 m, a także mający dwie lub
więcej kondygnacji nadziemnych budynek opieki zdrowotnej i budynek
opieki społecznej, należy wyposażyć w dźwig osobowy.</p>
<ul>
<li><p>ROZDZIAŁ 9 WT - OD PARAGRAFU 193</p></li>
</ul></th>";;
132;"Na
danym rysunku szatni z ustępami i umywalkami, pom. technicznym, jadalnia
oznaczyć szer. drzwi, odporność wybranych otworów i zaprojektować
wentylację grawitacyjna w rurze spiro. Były podane EI niektórych ścian i
powierzchnie pomieszczeń.";PŻ;PM_Z12;;"</h2>
<p><a href=""https://www.facebook.com/groups/350678832699240/user/100003374294808/?__cft__%5B0%5D=AZV-UXY8dJ5MbY_7503g2WaKlnkrcwG4jbc8sqzP2IT7cOJnnzhK3ftX4auhWWQ27S5U-I75zhbPTw7vkSLjR6YBlajoiSD40catPkSEzr-TPht6AQtXH980ueUEpJ-JxXxa_9NX5AYytr3lFVD7SIB-7KGWa6eHJS1bgvQ8rz8pjDZbHMXTXikPVbvVPnaNJLI&amp;__tn__=R%5D-R""><u>Kasia
Fiszek</u></a> właśnie nawet komisja stwierdziła że dziwne pytanie i
chyba nawet sam autor nie wiedział co ma na myśli;) kazali powiedzieć
gdzie bym zaprojektowała went i jakie przekroje.</p>
<p><a href=""https://www.facebook.com/groups/350678832699240/user/1673692863/?__cft__%5B0%5D=AZV-UXY8dJ5MbY_7503g2WaKlnkrcwG4jbc8sqzP2IT7cOJnnzhK3ftX4auhWWQ27S5U-I75zhbPTw7vkSLjR6YBlajoiSD40catPkSEzr-TPht6AQtXH980ueUEpJ-JxXxa_9NX5AYytr3lFVD7SIB-7KGWa6eHJS1bgvQ8rz8pjDZbHMXTXikPVbvVPnaNJLI&amp;__tn__=R%5D-R""><u>Natalia
Staniszewska</u></a> haha, no dobre. wentylacja grawitacyjna to dziura
idącą pionowo do góry, więc trochę mnie zastanowiło o co chodzi z tą
spiro <img src=""https://raw.githubusercontent.com/adriansstudia/UB2024-APP/main/images/image40.png"" style=""width:0.16736in;height:0.16667in""/></p>
<p><a href=""https://www.facebook.com/groups/350678832699240/user/100003374294808/?__cft__%5B0%5D=AZV-UXY8dJ5MbY_7503g2WaKlnkrcwG4jbc8sqzP2IT7cOJnnzhK3ftX4auhWWQ27S5U-I75zhbPTw7vkSLjR6YBlajoiSD40catPkSEzr-TPht6AQtXH980ueUEpJ-JxXxa_9NX5AYytr3lFVD7SIB-7KGWa6eHJS1bgvQ8rz8pjDZbHMXTXikPVbvVPnaNJLI&amp;__tn__=R%5D-R""><u>Kasia
Fiszek</u></a> może iść w pustaku np gotowym ale może też iść w rurze
spiro i zakończona na dachu kominkiem wentylacyjnym</p>
<p>To było zaplecze w budynku warsztatu samochodowego (coś w tym
stylu)</p>
<p><a href=""https://www.facebook.com/groups/350678832699240/user/100000564260037/?__cft__%5B0%5D=AZV-UXY8dJ5MbY_7503g2WaKlnkrcwG4jbc8sqzP2IT7cOJnnzhK3ftX4auhWWQ27S5U-I75zhbPTw7vkSLjR6YBlajoiSD40catPkSEzr-TPht6AQtXH980ueUEpJ-JxXxa_9NX5AYytr3lFVD7SIB-7KGWa6eHJS1bgvQ8rz8pjDZbHMXTXikPVbvVPnaNJLI&amp;__tn__=R%5D-R""><u>Paulina
Zarzeczna-Czekańska</u></a> były też jakieś wysokości pomieszczeń w
stylu 2.5 Ale dokładnie nie pamiętam czyli te klasy odporności brałaś
dla PM?</p>
<p><a href=""https://www.facebook.com/groups/350678832699240/user/100000564260037/?__cft__%5B0%5D=AZV-UXY8dJ5MbY_7503g2WaKlnkrcwG4jbc8sqzP2IT7cOJnnzhK3ftX4auhWWQ27S5U-I75zhbPTw7vkSLjR6YBlajoiSD40catPkSEzr-TPht6AQtXH980ueUEpJ-JxXxa_9NX5AYytr3lFVD7SIB-7KGWa6eHJS1bgvQ8rz8pjDZbHMXTXikPVbvVPnaNJLI&amp;__tn__=R%5D-R""><u>Paulina
Zarzeczna-Czekańska</u></a> klasy odpornosci scian byly podane.
Wystarczyło powiedzieć jakie będą EI otworów w tych ścianach.</p>
<p>Wytyczne dla prowadzenia instalacji wentylacyjnej paragraf 267 z
WT</p>
<ul>
<li><p>Odległość nieizolowanych przewodów wentylacyjnych od wykładzin i
powierzchni palnych powinna wynosić co najmniej 0,5 m.</p></li>
<li><p>- Elastyczne elementy łączące, służące do połączenia sztywnych
przewodów wentylacyjnych z elementami instalacji lub urządzeniami, z
wyjątkiem wentylatorów, powinny być wykonane z materiałów co najmniej
trudno zapalnych, posiadać długość nie większą niż 4 m, przy czym nie
powinny być prowadzone przez elementy oddzielenia
przeciwpożarowego.</p></li>
<li><p>Elastyczne elementy łączące wentylatory z przewodami
wentylacyjnymi powinny być wykonane z materiałów co najmniej trudno
zapalnych, przy czym ich długość nie powinna przekraczać 0,25
m.</p></li>
</ul></th>";;
134;"Z
czego składa się decyzja o warunkach zabudowy.";L;MZ_Z14;;"</h2>
<p>Napisałam że składa się z części opisowej, mapy do decyzji, analizy
urbanistycznej i mapy do tej analizy. Jedna babka z komisji chciała
więcej szczegółów ale przewodniczącemu tyle wystarczyło.</p>
<p>Ustawa o planowaniu i zag prz.</p></th>";;
135;"Był
narysowany budynek składający się z hali magazynowa i budynmu
usługowego. Określić klasy budynku, elementy przeciwpożarowe i jaka
powinna być ściana oddzielenia ppoż. Jak długie drogi ewakuacji przy
jednej klatce.";PŻ;MZ_Z14;;"</h2>
<p>Jak metformax</p></th>";;
136;"Pytanie
było o rekuperację - z czego się składa i czy trzeba mieć na to
projekt.";P;MZ_Z14;;"</h2>
<p>WT, par 151:</p>
<p>§ 151. [Urządzenia do odzyskiwania ciepła i cyrkulacja]</p>
<p>1.</p>
<p>W instalacjach wentylacji mechanicznej ogólnej nawiewno-wywiewnej
lub</p>
<p>klimatyzacji komfortowej o wydajności 500 m /h i więcej należy
stosować􀅿</p>
<p>urządzenia do odzyskiwania ciepła z powietrza wywiewanego o
sprawności</p>
<p>temperaturowej co najmniej 50% lub recyrkulację, gdy jest to
dopuszczalne. W</p>
<p>przypadku zastosowania recyrkulacji strumie􀈡 powietrza zewnętrznego
nie</p>
<p>może być􀅿 mniejszy niż wynika to z wymagań􀈡 higienicznych. Dla
wentylacji</p>
<p>technologicznej zastosowanie odzysku ciepła powinno wynikać􀅿 z</p>
<p>uwarunkowań􀈡 technologicznych i rachunku ekonomicznego.</p>
<p>Budowa systemu rekuperacji</p>
<p>Rekuperacja to centrala wentylacyjna oraz układ kanałów
wentylacyjnych: rekuperacja = rekuperator + kanały do transportu Ilości
powietrza nawiewanego i wywiewanego równoważą się, stąd pełna nazwa
rekuperacji to zrównoważona wentylacja nawiewno-wywiewna z odzyskiem
ciepła.</p>
<p><img src=""https://raw.githubusercontent.com/adriansstudia/UB2024-APP/main/images/image21.png"" style=""width:2.69688in;height:2.01979in""/> <img src=""https://raw.githubusercontent.com/adriansstudia/UB2024-APP/main/images/image37.png"" style=""width:2.34588in;height:1.77352in""/></p>
<p>Rekuperator</p>
<p>Sercem systemu rekuperacji jest <a href=""https://www.rekuperatory.pl/rekuperator/""><u>rekuperator</u></a>,
centrala wentylacyjna z odzyskiem ciepła, wyposażona m.in. w
elektronikę, wymiennik ciepła i wentylatory, które nadają powietrzu
właściwe kierunki przepływu. W wymienniku ciepła, przez który przechodzą
dwa strumienie powietrza, tj. nawiewny i wywiewny, odbywa się odzysk
energii. Latem jest to chłód, zimą ciepło. Strumienie wywiewany i
nawiewany w nie mieszają się ze sobą, a jedynie mijają w blisko ze sobą
sąsiadujących kanalikach.</p>
<p><img src=""https://raw.githubusercontent.com/adriansstudia/UB2024-APP/main/images/image28.png"" style=""width:2.37557in;height:1.48319in""/></p></th>";;
137;"Z
pytań projektowych to układ funkcjonalny węzła żywieniowego (miałam w
projektach rozbudowę kuchni w szkole)";ZPP;MZ_Z14;;"</h2>
<p><img src=""https://raw.githubusercontent.com/adriansstudia/UB2024-APP/main/images/image4.png"" style=""width:2.50031in;height:1.97569in""/><img src=""https://raw.githubusercontent.com/adriansstudia/UB2024-APP/main/images/image14.png"" style=""width:2.53148in;height:1.78913in""/></p>
<p>pomiędzy blatami roboczymi min 150 cm, przejścia 120 cm i szerokość
miejsca pracy 80 cm</p></th>";;
138;"Wymienić
po kolei elementy i procedury wykonania fundamentów i słupów
żelbetowych.";ZPB;MZ_Z14;;"</h2>
<p>Jak M40</p></th>";;
140;"wymień
wszystkie izolacje w budynku mieszkalnym wielorodzinnym z usługami w
parterze i garażem podziemnym.";P;D_Z24;;"</h2>
<ul>
<li><p>hydroizolacja fundamentów - ściany fund, podłoga na
gruncie.</p></li>
<li><p>izolacje stropów, dachu itd</p></li>
<li><p>akustyczne - istotne</p></li>
</ul></th>";;
141;"wymień
obowiązki architekta przy projekcie przebudowy istniejącego budynku
zgodnie z PB i Kodeksem Etyki Zawodowej Architekta.";L;D_Z24;;"</h2>
<p>art 19 i 20 PB</p>
<ul>
<li><p>Architekci szanują w swej twórczości wartości zastane,
dziedzictwo przyrodnicze i kulturowe i dbają o ich zachowanie i rozwój.
Dążą do podnoszenia jakości życia i zamieszkiwania oraz jakości
środowiska i otoczenia, w sposób nienaruszający ich równowagi, działając
z przekonaniem, że efekty ich pracy służą szeroko pojętym interesom
wszystkich, którzy mogą oczekiwać pożytku i zadowolenia z nich.</p></li>
<li><p>Architekci nie przywłaszczają sobie własności intelektualnej ani
nie wykorzystują pomysłów innych architektów, firm lub innej organizacji
bez ich zgody.</p></li>
</ul>
<p>Prawo Autorskie:</p>
<ul>
<li><p>Art. 2. 1. Opracowanie cudzego utworu, w szczególności
tłumaczenie, przeróbka, adaptacja, jest przedmiotem prawa autorskiego
bez uszczerbku dla prawa do utworu pierwotnego. - prawo
autorskie</p></li>
</ul>
<p>wszystko co jest w obowiązkach architekta w pb a udało mu się spisać
ale głównie chodziło im o prawa autorskie z kodeksu etyki bo to budynek
istniejący. Jeszcze mówiłam o umowie z inwestorem, o informowaniu go na
każdym etapie</p></th>";;
142;"Narysuj
mieszkanie dla 3 osób, podaj wielkości pomieszczeń.";P;D_Z24;;</h2></th>;;
143;"Z
projektu: podaj jak się ustala odporność pożarową dla budynków PM na
przykładzie Hali i podaj na podstawie jakiego przepisu. i z wykonawczej
podaj kolejność montażu wiązarów dachowych, przedstaw na
rysunku.";ZPP;D_Z24;;</h2></th>;;
145;"Narysuj
mieszkanie dla starszego małżeństwa (były podane szachty i kawałek
ścianki działowej)";P;D_Z25;;"</h2>
<p><a href=""https://www.facebook.com/groups/350678832699240/user/100000219942136/?__cft__%5B0%5D=AZV-UXY8dJ5MbY_7503g2WaKlnkrcwG4jbc8sqzP2IT7cOJnnzhK3ftX4auhWWQ27S5U-I75zhbPTw7vkSLjR6YBlajoiSD40catPkSEzr-TPht6AQtXH980ueUEpJ-JxXxa_9NX5AYytr3lFVD7SIB-7KGWa6eHJS1bgvQ8rz8pjDZbHMXTXikPVbvVPnaNJLI&amp;__tn__=R%5D-R""><u>Katarzyna
Tyburska</u></a> a czy trzeba było do tych szachtów narysować wentylację
graw. np .do łazienki? czy to było podane tylko tak o?</p>
<p><a href=""https://www.facebook.com/groups/350678832699240/user/100000564260037/?__cft__%5B0%5D=AZV-UXY8dJ5MbY_7503g2WaKlnkrcwG4jbc8sqzP2IT7cOJnnzhK3ftX4auhWWQ27S5U-I75zhbPTw7vkSLjR6YBlajoiSD40catPkSEzr-TPht6AQtXH980ueUEpJ-JxXxa_9NX5AYytr3lFVD7SIB-7KGWa6eHJS1bgvQ8rz8pjDZbHMXTXikPVbvVPnaNJLI&amp;__tn__=R%5D-R""><u>Paulina
Zarzeczna-Czekańska</u></a> tak o. Dla mnie to była tylko wskazówka
gdzie powinna być łazienka i kuchnia. Niepotrzebnie też zasugerowałam
się istniejąca ścianka działową, bo wyszła mi przez to ciut za mała
toaleta, a potem od komisji dowiedziałam się, że na tym rzucie można
wszystko zmieniac byle było poprawnie. Komisji bardziej chodziło o
rozwiązania ułatwiające poruszanie się po mieszkaniu i o toaletę.
Powołałam się na par. 86 chyba a ż wt o projektowaniu toalet dla osób
niepełnosprawnych, dałam szersze drzwi i powiedziałam o bezprogowym
prysznicu i poręczach w wc. Generalnie to ciężko to ładnie zrobić w
skali i żeby wszystko było, bo rysowałam to w 2 minuty, ale
wystarczyło.</p>
<p><a href=""https://www.facebook.com/groups/350678832699240/user/100000564260037/?__cft__%5B0%5D=AZV-UXY8dJ5MbY_7503g2WaKlnkrcwG4jbc8sqzP2IT7cOJnnzhK3ftX4auhWWQ27S5U-I75zhbPTw7vkSLjR6YBlajoiSD40catPkSEzr-TPht6AQtXH980ueUEpJ-JxXxa_9NX5AYytr3lFVD7SIB-7KGWa6eHJS1bgvQ8rz8pjDZbHMXTXikPVbvVPnaNJLI&amp;__tn__=R%5D-R""><u>Paulina
Zarzeczna-Czekańska</u></a> i nie pytali o wentylację wcale</p></th>";;
146;"Jakie
organy orzekają w sprawach odpowiedzialności zawodowej?";L;D_Z25;;"</h2>
<p>organy samorządu zawodowego.</p>
<p>rzecznik - oskarżyciel</p>
<p>sąd dyscyplinarny - sąd xd</p>
<p>prezydium - wykonuje karę</p></th>";;
147;"Co
wchodzi w skład projektu architektoniczno-budowlanego, technicznego i
pzt.";L;D_Z25;;"</h2>
<p>z rozporządzenia: strona tytułowa, rysunek, opis, załączniki</p></th>";;
148;"Pytanie
z projektu: ewakuacja z garażu podziemnego i który warunek z przepisów
musi być spełniony.";ZPP;D_Z25;;</h2></th>;;
149;"Pytanie
z budowy: narysować detal fasady wentylowanej i omówić kolejność
prac.";ZPB;D_Z25;;</h2></th>;;
151;"Rysunek
pierzei i wrysować nową zabudowę plombową, ogólnie co to zabudowa
plombowa, jej cechy, co trzeba przed projektowaniem wziąć pod uwagę przy
budowie nowego obiektu przy starym, wytłumaczyć dlaczego tak się
rysowało nowy budynek";P;MP_Z26;;"</h2>
<ul>
<li><p>fundamenty</p></li>
<li><p>stan techniczny budynku</p></li>
<li><p>przesłanianie / zacienianie</p></li>
<li><p>MPZP / WZ</p></li>
<li><p>estetyka / układ elewacji.</p></li>
<li><p>ppoż - pas ppoż, ściana oddzielenia ppoż</p></li>
</ul></th>";;
152;"Projekt
Budowlany co wchodzi w skład, ale pytali też od razu o MPZP i
WZ";L;MP_Z26;;</h2></th>;;
