number,numberP,question,kategoria,zestaw,rating,answer,aiAnswer,law
,,Bezpieczne kierunki i głębokości pęknięć schnięcia lub skurczowych drewna litego i klejonego?,zB_DREWNO,,,"<p>wzdłuż włókien, (Największej zmiany objętości doznaje drewno w kierunku stycznym do przekroju.)</p><p>Według pracy P. Frecha (patrz „Literatura”) nie budząca obaw głębokość pęknięć, zależnie od rodzaju obciążenia (ścinanie lub zginanie) i skłonności do pękania, wynosi ok. 45 – 80 % miarodajnej szerokości przekroju poprzecznego.</p>",,
,,Co to są i do czego służą wklejane pręty gwintowane,zB_DREWNO,,,,,
,,Klasy drewna wg Eurokodu 5,zB_DREWNO,,,"<p>1,2,3 ze względu na użytkowanie (1 – wilg 65%, 2 – wilg. 85%, powyżej 85%; przy temp. 20st.C tylko kilka tygodni w roku) dla drewna iglastego i topoli: C14, C16, C18, C22, C24, C27, C30, C35, C40.  dla drewna liściastego (bez topoli): D30, D35, D40, D50, D60, D70.</p><p>Podane w nowej normie po literze C liczby to wytrzymałość [w N/mm2 albo MPa] na zginanie dla drewna o wilgotności 12%.</p>",,
,,łączniki w konstrukcjach drewnianych Eurolidze,zB_DREWNO,,,<p>20) rama żelbetowa</p>,,
,,Omówić zasady konstruowania połączeń mechanicznych i ustalania ich nośności w konstrukcjach drewnianych posługując się (PN normy rozdz.7 ),zB_DREWNO,,,,,
,,Od czego zależy rozstaw łączników w konstrukcjach drewnianych.,zB_DREWNO,,,"<p>Eurocod 5</p><p>Zależy od odległości</p><p>a1- wzdłuż włókien</p><p>a2- w poprzek włókien</p><p>a3,t- koniec obciążony</p><p>a3,c- koniec nieobciążony</p><p>a4t-krawędź obciążona</p><p>a4c-krawędź nieobciążona</p>",,
,,"Podaj przybliżoną wytrzymałość doraźną pozbawionego wad drewna iglastego stosowanego w kraju. Dlaczego dużo niższe przyjmuje się wytrzymałości obliczeniowe. Klasy drewna, wytrzymałość długotrwała",zB_DREWNO,,,,,
,,Podaj przykłady konstrukcyjnej ochrony drewna przed szkodliwym oddziaływaniem wilgoci,zB_DREWNO,,,,,
,,Połączenia elementów drewnianych,zB_DREWNO,,,"<p>Konstrukcja więźby dachowej przez wieki łączona była w całość za pomocą tradycyjnych łączy ciesielskich. Połączenia ciesielskie polegają na wykonaniu w drewnianych elementach, które mają być ze sobą połączone, różnych wcięć.</p><p>Części więźby łączy się w rozmaity sposób, na przykład na czop, zakładkę prostą lub wrąb.  Poszczególne połączenia wymagają bardzo dużej precyzji wykonania, ponieważ każde obniża wytrzymałość elementów o mniej więcej 20-30%. Poza tym wycięcia w krawędziakach nie mogą być głębsze niż 1/3 wysokości przekroju, aby zanadto nie osłabić elementu więźby. Złącza ciesielskie często dodatkowo wzmacnia się kołkami drewnianymi lub śrubami. Kołki drewniane stosuje się tam, gdzie konstrukcja może być narażona na korozję stali, więc nie mogą być zastosowane śruby czy gwoździe. Kołki powinny być wykonane ze zdrowego bezsęcznego drewna oraz mieć średnicę 10-50 mm. Tradycyjne złącza ciesielskie łączy się również na klej. Dzięki temu konstrukcja nie jest osłabiona wycięciami ani elementami łączącymi, a poszczególne jej części przylegają do siebie na całej powierzchni.</p><p>Wzdłużne:</p><p>Czop:</p><p>Nakładka:</p>",,
,,"Rodzaje i konstrukcja okien drewnianych i PCV, szyby zespolone OKNA DREWNIANE",zB_DREWNO,,,"<p>okna krosnowe - W oknach typu krosnowego rama okienna (oboknie) składa się na całym swoim obwodzie z jednego elementu o przekroju prostokątnym, ustawionym w otworze okiennym w ten sposób, że dłuższy bok przekroju jest prostopadły do muru.</p><p>okna ościeżnicowe (zwane też oknami polskimi) – zbudowane były z ościeżnicy, do której mocowane są podwójne skrzydła okienne (jedno otwierane na zewnątrz pomieszczenia, drugie do środka). Stosowane były zwłaszcza w budownictwie wiejskim i w miastach na najniższych kondygnacjach.</p><p>okna skrzynkowe – rama okienna złożona jest z ościeżnicy i krosna, do niej mocowane są podwójne skrzydła okienne otwierane do środka. Skrzydła zewnętrzne zawsze mają nieco mniejszy wymiar niż skrzydła wewnętrzne. Odmianą okien skrzynkowych są okna półskrzynkowe. Ich rama złożona jest z ościeżnicy i poziomych elementów krosna zwanych krośniakami. Skrzydła okien półskrzynkowych są tej samej szerokości, lecz rożnej wysokości.</p><p>okna zespolone (szwedzkie) – posiadają podwójne skrzydła połączone ze sobą za pomocą śrub. Zawieszone są na ramie okna na wspólnym zawiasie. Stosowane w Polsce od ponad czterdziestu lat  okna jednoramowe – składają się z ramy i pojedynczych skrzydeł okiennych wykonanych z trzech warstw drewna sklejonych ze sobą. Układ włókien zapobiega wypaczaniu się konstrukcji. Skrzydła szklone szybami zespolonym (zestawami szyb połączonymi uszczelką).</p><p>SZYBY ZESPOLONE</p><p>W zależności od konstrukcji, każda szyba zespolona jest przez producentów szyb i producentów okien specyficznie opisywana. Praktycznie w każdej ofercie można znaleźć właściwy dla branży okiennej sposób opisów pakietów przeszkleń. Szyby zespolone odpowiadają bezpośrednio za kilka bardzo istotnych właściwości okien i drzwi balkonowych z PVC. Zastosowanie odpowiednich szyb, wpływa przede wszystkim na takie specyficzne właściwości okien jak: izolacyjność cieplna okna, izolacyjność akustyczna okna, bezpieczeństwo użytkowania, odporność na włamanie.</p><p>OKNA PCV</p><p>Każde okno z PVC niezależnie od swojego kształtu i podziału zbudowane jest z różnych kombinacji kształtowników z wysokoudarowego PVC-U. Skrót PVC-U pochodzi od nazwy tworzywa POLICHLORKU WINYLU. Angielski skrót PVC często zastępowany jest poprawnym skrótem polskim PCW lub niepoprawnym, ale potocznym i powszechnie używanym skrótem PCV.</p><p>Wysokoudarowość tworzywa oznacza, że jest to materiał o wysokiej odporności na działanie zewnętrznych zjawisk mechanicznych. Innym słowy okna z tworzywa sztucznego (plastiku) wykonane są z twardego PVC.</p><p>Podstawowymi elementami każdej konstrukcji okna są: kształtowniki (profile) okienne, a w tym profile: ramy ościeżnicy, ramy skrzydła, ramy słupka, listwy przyszybowej, szyby zespolone, okucia obwiedniowe.  Systemy uszczelek przylgowych, przyszybowych, środkowych, płaskich.</p>",,
,,Sposoby wzmacniania konstrukcji drewnianych.,zB_DREWNO,,,"<p>1)tradycyjna</p><p>a)za pomocą elementów drewnianych</p><p>Wzmocnienie belek drewnianych za pomocą nakładek drewnianych wykonuje się poprzez dołączenie do istniejącej belki elementów drewnianych o takiej samej wysokości jak istniejąca belka, dołączonych za pośrednictwem elementów drewnianych oraz metalowych b)za pomocą elementów stalowych</p><p>Wzmocnienia z zastosowaniem elementów stalowych można podzielić na dwie grupy: wzmocnienie na całej długości elementu oraz wzmocnienie tylko w obszarze uszkodzonego fragmentu. W przypadku pierwszej grupy najczęściej kształtowniki stalowe mocuje się na powierzchniach bocznych (jednostronnie lub dwustronnie) lub na krawędziach elementu</p><p>2) zbrojenie prętami oraz blachami wklejamy w specjalnie przygotowane otwory pręty stalowe. Pręty zbrojeniowe powinny być wykonane ze stali żebrowanej. Pręty wklejane są w belkę za pomocą klejów epoksydowych, które charakteryzują się dobrą przyczepnością do drewna i stali.</p><p>Wklejanie blach, do czoła lub do środka na kompozycie epoksydowym</p><p>3)wklejanie kompozytów metodą iniekcyjną</p><p>4)sznur aramidowy</p>",,
,,stropy drewniane,zB_DREWNO,,,"<p>Płyty stropowe skrzynkowe (z drewna klejonego i żelbetu poniżej)</p><p>Najistotniejsze właściwości stropów skrzynkowych:</p><p>- wysoka wytrzymałość,</p><p>- dużo większa do uzyskania rozpiętość bez stosowania podpór w porównaniu ze standardowymi rozwiązaniami,</p><p>- możliwość ocieplenia - strop może zostać wypełniony izolacją celulozową, uzyskuje wówczas bardzo dobre parametry termoizolacyjne i akustyczne - tłumiące hałas,</p><p>- wyjątkowo wysoka odporność na skręcanie,</p><p>- niska waga stropu.</p><p>Zastosowania:</p><p>- Strop lub stropodach w budynkach jedno- lub wielorodzinnych, budynkach użyteczności publicznej, obiektach handlowych i przemysłowych itp., a także przy remontach istniejących budynków.</p><p>- Hale z konstrukcją z drewna klejonego lub stalowe - jako stropodach hali. Powierzchnia paneli stropowych wykonana jest ze sklejki i stanowi idealne podłoże do wykonywania pokrycia dachowego. W przypadku takiego zastosowania stropów skrzynkowych strop skrzynkowy zastępuje również płatwie.</p><p>- Zastosowany jako stropodach na klejonych drewnianych konstrukcjach basenów eliminuje problem wykraplania się pary wodnej na pokryciach z blach trapezowych.</p><p>- Doskonale sprawdza się przy remontach starych budynków - np. kamienic, gdzie istnieje konieczność wymiany stropów.</p><p>- W pawilonach handlowych i innych obiektach użyteczności publicznej sprawdzi się jako strop dużej nośności - przy rozpiętości 6 m przenosi obciążenie użytkowe do 6000 N/m2 przy grubości stropu 288 mm.</p><p>- W budownictwie mieszkaniowym możliwe jest wykonanie stropu przenoszącego wymagane obciążenia użytkowe przy rozpiętości do 9 m bez dodatkowego podparcia. Produkowane wymiary paneli stropowych:</p><p>- grubość - od 176 do 288 mm,</p><p>- szerokość - do 2500 mm,</p><p>- długość - do 9 m.</p><p>Przykład stropu skrzynkowego żelbetowego</p><p>Stropy te stosowane są w piwnicach, pomieszczeniach magazynowych i w obiektach przemysłowych oraz wszędzie tam, gdzie nie zależy nam na gładkiej powierzchni sufitu.</p><p>Ze względu na małe odstępy miedzy zebrami deskowanie stropu stanowią skrzynki drewniane bez dna, o długości 1,00-1,20 m, ustawione na deskach zamykających od dołu deskowanie zebra Skrzynki zbija się z krótkich desek odpadowych o grubości 19-25 mm. Gdy beton osiągnie odpowiednia wytrzymałość, strop rozdeskowuje się, skrzynki wyjmuje się i używa do deskowania stropu w innym pomieszczeniu. W celu ułatwienia rozdeskowania stropu skrzynki przed betonowaniem powinny być posmarowane środkiem zmniejszającym przyczepność betonu do drewna (roztworem pasty mydlanej, zawiesina gliniana, zużytym olejem maszynowym itp.). Stosuje się również stropy z zebrami zwężającymi się ku dołowi, wówczas skrzynki maja kształt trapezowy i łatwo je wyjmować. Zebra stropów gęsto żebrowych monolitycznych maja wysokość do spodu płyty 15-20 cm, a szerokość 8-l O cm. Jeżeli planowane jest wykonanie gładkiego podwieszonego sufitu z płyt wiórkowocementowych, paździerzowych lub pilśniowych, to ze spodu żeber należy wypuścić druty umożliwiające podwiązanie podsufitki.</p><p>Źródło: opracowanie własne</p><p>MAJSTER BUDOWLANY:</p><p>15.2.7. Stropy na belkach drewnianych – str. 505</p>",,
,,"Zasady klejenia drewna warstwowo, rodzaje złącz klejonych",zB_DREWNO,,,,,
,,Blacha tytanowo cynkowa,zB_DACH,,,"<p>Blacha cynkowo-tytanowa jest bardzo trwała i to nie jedyna jej zaleta. Blacha nie wymaga żadnych zabiegówkonserwacyjnych ani pielęgnacyjnych. Wystarczy ją od czasu do czasu umyć wodą i oczyścić z kurzu. Podczasmontażu pokrycia dachowego trzeba jednak odpowiednio przygotować podłoże. Ważny jest równeż sposóbmagazynowania blachy.</p><p>Wszystkie blachy cynkowo-tytanowe układa się na pełnym podłożu – deskowaniu, wodoodpornej sklejce,drewnopochodnych płytach OSB lub szlifowanych płytach MPF. Musi być równe, ewentualne różnice poziomównie powinny być większe niż 5-10 mm. Podczas transportu i magazynowania blachy cynkowo-tytanowej nie wolno zamoczyć, bo pod wpływem wilgoci wytrąca się na niej biały wodorotlenek cynku będący skutkiem pierwszego procesu patynowania.</p><p>Najpopularniejsze pokrycia cynkowo-tytanowe to blachy płaskie. Mają postać pasów o szerokości od 40 do 70 cm i długości do 10 m. Sprzedawane są więc w rolkach. Dłuższe pasy zbyt mocno odkształcają się termicznie, choć przy spełnieniu określonych warunków dopuszcza się długość dochodzącą nawet do 16 m.</p><p>Zazwyczaj pokrycia wykonuje się z pasów o szerokości 53 lub 60 cm, z blachy grubości 0,7 mm. Pasy węższe albo grubsze stosuje się wtedy, kiedy wskazane jest wzmocnienie, na przykład w celu przeciwdziałania wyginaniu przez silny wiatr. Niektóre blachy mają od spodu warstwę lakieru poliamidowego, który chroni je przed korozją wynikającą z kontaktu z poszyciem albo skroplinami.</p><p>Blachę cynkowo-tytanową można układać na kilka sposobów, w zależności od planowanego końcowego efektu wizualnego. Może to być podwójny rąbek stojący, kątowy rąbek stojący albo gotowy system łączenia na listwyzatrzaskowe.</p><p>Oprócz płaskich blach z tytan cynk wykonuje się również pokrycia drobno elementowe. Łuski małe mają kształt kwadratowy lub rombowy, o boku szerokości 28-40 cm. Na górnej przedniej i dolnej stronie wykonane są specjalne wygięcia w formie płaskich rąbków. Mocuje się je za pomocą tak zwanych haft – przybijanych do podkładu i zahaczanych o rąbek płaski sąsiednich łusek. Łuski są wykonane z blachy grubości 0,8 mm.</p><p>Łuski duże są elementami wielkowymiarowymi – mają szerokość od 33,3 do 60 cm i długość do 3 m. Wykonuje się je z blachy cynkowo-tytanowej grubości 0,7 lub 0,8 mm. Sposób ich montażu jest podobny jak w przypadku łusek małych.</p><p>Panele to z kolei duże, gotowe elementy pokryciowe o szerokości około 40 cm i długości ponad 80 cm. Są zrobione z blachy grubości 0,5 lub 0,7 mm. Układa się je na sztywnym poszyciu z desek lub płyt, w równoległych pionowych rzędach, w kierunku od dołu w górę, zaczynając od prawej krawędzi dachu. Montuje się je znacznie szybciej niż łuski małe.</p>",,
,,Cięcie dachówki i blachodachówki,zB_DACH,,,"<p>Dachówka: W miejscach takich, jak kosze, komin czy strefa wokół okien  połaciowych, gdzie konieczne jest przycinanie, dachówki należy ciąć w  taki sposób, by pył nie dostał się na dachówkę ani pod nią, ponieważ  jest on trudny do usunięcia, szczególnie wtedy, gdy nie zrobi się tego  od razu. Jeśli na dachu zastosuje się folię dachową, pył może zatkać jej  pory i spowodować, że membrana straci swoją paroprzepuszczalność.  Dlatego cięcie najlepiej wykonać poza połacią odpowiednimi przecinarkami z tarczami do ceramiki.</p><p>Blachodachówka: Wszystkie blachy stalowe powinny być cięte nożycami (ręcznymi lub skokowymi tzw.</p><p>niblerami ). Tylko taki sposób cięcia powoduje naciągnięcie warstwy cynku na ciętą powierzchnię, którą należy następnie zabezpieczyć lakierem w kolorze pokrycia. Niedozwolone jest używanie szlifierek kątowych, przy których cięcie następuje w wysokiej temperaturze niszcząc krawędź ciętą, a wydobywające się iskry wypalają powłokę, co w konsekwencji doprowadzi do powstania ognisk korozji w tych miejscach. Blachodachówki powinny powinny być przycinane na dole, a nie na dachu. Powstające podczas cięcia opiłki mogą zarysować powierzchnię ułożonej blachodachówki. To z kolei może spowodować pękanie powłoki ochronnej i być przyczyną korozji pokrycia.</p>",,
,,Dach krokwiowo-jętkowy (majster 515),zB_DACH,,,"<p>Konstrukcja jętkowa stosowana jest przy większych wymiarach dachu – zalecane rozpiętości wynoszą od 6,0 do 9,0 m. Często wznosi się taką konstrukcję w domach z poddaszem użytkowym, gdyż pozwala ona uzyskać odpowiedni kształt pomieszczeń przeznaczonych na cele mieszkalne. Składa się z krokwi (o długości powyżej 4,5 m) połączonych w kalenicy i opartych na murłatach oraz z jętek, które łączą naprzeciwległe krokwie, a tym samym przejmują siły rozporowe, nadając sztywność konstrukcji. Należy przestrzegać ważnej zasady, aby jętka spinała krokiew na odpowiedniej wysokości. Część dolna nie powinna przekraczać 4,5 m (licząc od murłaty), natomiast górna 2,5 m (licząc od kalenicy). Konstrukcję jętkową należy wzmacniać w kierunku podłużnym za pomocą wiatrownic lub łat. Wskazana rozpiętość dachu o konstrukcji jętkowej wynosi 9,0 m, jednak dopuszcza się większe wymiary – do 12,0 m. W takim przypadku długość jętek jest tak duża, że trzeba je podpierać za pomocą jednej lub dwóch płatwi (w zależności od długości jętki) opartych na słupach. Zasada jest taka, że jeśli wiązar ma rozpiętość od 7,5 do 9,0 m, wskazana jest jedna płatew oparta na słupie umieszczonym w środku. Przy rozpiętości mieszczącej się w granicach 9,0 – 12,0 m, zaleca się zamontowanie dwóch płatwi opartych na 2 słupach.</p>",,
,,Dach krokwiowo-płatwiowy,zB_DACH,,,"<p>Płatwie to belki równoległe do kalenicy, na których opierają się krokwie (rys.). Dolne płatwie spoczywają na stropie lub ściance kolankowej, pozostałe zaś są podparte słupami. Obciążenia są przekazywane za pośrednictwem płatwi na ściany nośne i strop.  Najczęściej elementem wiązarów są też kleszcze – umieszczone poniżej płatwi pary belek lub desek obejmujących obustronnie krokwie i słupy. Natomiast miecze pozwalają zwiększyć odległości pomiędzy słupami. Słupy i kleszcze rozmieszcza się tylko co 3–4 pary krokwi (wiązarów), reszta wiązarów składa się z samych krokwi.</p><p>Rozpiętość dachu może sięgać 12 m, a jego rzut może być nawet bardzo skomplikowany. Dobierając odpowiednio liczbę płatwi i słupów można zaś zaprojektować dach o niemal dowolnym, nawet minimalnym spadku. nawet minimalnym spadku (rys).</p><p>Utrudnieniem w zagospodarowaniu poddasza o takiej więźbie są słupy, jednak są rozstawione co 3–4 metry, czasem udaje się zaś ukryć je w ściankach działowych.</p>",,
,,"Dach płaski, jaka wysokość przewodu kominowego, gdy w odległości 8m znajduje się ściana szczytowa o wysokości 3m.",zB_DACH,,,"<p>Na dachu płaskim, gdy do przegrody mniej niż 1,5m – komin 0,3 wyżej niż przegroda; do przegrody 1,5-3m – komin na wysokość jak przegroda; ponad 3m tak aby kąt max 12 st tg12st = 0,21</p>",,
,,Dach płatwiowo-kleszczowy (majster str. 516),zB_DACH,,,"<p>To najbardziej uniwersalny rodzaj więźby dachowej. Znajduje zastosowanie zarówno w dachach płaskich, jak i stromych (6-70°), jedno- i dwuspadowych, z użytkowym poddaszem lub bez niego i na dodatek przy rozpiętościach do 16 m. Jest to konstrukcja bardzo podobna do dachu jętkowego z dwiema ścianami stolcowymi. Jednak płatwie pośrednie podpierają krokwie, a nie jętki i przez to w obu konstrukcjach występujązasadnicze różnice w sposobie przekazywania obciążeń na ściany i stropy. W dachu jętkowym wszystkieobciążenia przejmowane są przez ściany zewnętrzne, natomiast w płatwiowo-kleszczowym większość obciążeńprzekazywana jest na strop lub wewnętrzne ściany nośne (za pośrednictwem ścian stolcowych). Na ścianyzewnętrzne przenosi się jedynie ich część i dlatego murowane ścianki kolankowe najczęściej nie wymagają takpotężnych żelbetowych wzmocnień. Jest kilka rodzajówkonstrukcji płatwiowo-kleszczowych, między innymi:- typowa więźba płatwiowo-kleszczowa – zbudowanajest z dwóch rodzajów wiązarów: wiązarów głównych –rozstawionych co 3-5 m, składających się z dwóchkrokwi, pary kleszczy i dwóch słupów ścian stolcowych;oraz wiązarów pośrednich – składających się jedynie zkrokwi opartych na płatwiach i ewentualnie murłatach.Ten rodzaj konstrukcji przy rozpiętości 9-10 m niewymaga usztywnień w kierunku poprzecznym, ale przywiększym rozstawie ścian należy stosować zastrzały lubmiecze w płaszczyźnie wiązara głównego;</p><p>- więźba płatwiowo-kleszczowa z drewnianą ścianką kolankową – zwykle wykonywana jest w budynkach z poddaszem użytkowym. Typowa</p><p>wysokość ścianek kolankowych wynosi 1,2-2 m zarówno w dachach płaskich, jak i</p><p>stromych. Jest to zwykła konstrukcja ściany</p><p>stolcowej z płatwią, podwaliną, słupkami i mieczami. Przed wychyleniem ścianki na zewnątrz zabezpieczają ją kleszcze</p><p>łączące krokiew ze słupem stolcowym ściany wewnętrznej;</p>",,
,,Dachy,zB_DACH,,,"<p>Dach to część budynku chroniąca go przed warunkami atmosferycznymi(opady, wiatr, zmiany temperatury) Składa się z warstwy nośnej, pokrycia oraz izolacji. Konstrukcję dachu wykonuje się jako żelbetową, drewnianą lub stalową.</p><p>Wybór pokrycia dachowego zależy od pochylenia połaci dachowej, kształtu dachu, architektury lokalnej, estetyki</p>",,
,,Etapy montażu dachu krokwiowo-jętkowego (wraz z warstwami izolującymi),zB_DACH,,,"<p>Stan wyjściowy przed przystąpieniem do budowy dachu: 	wymurowane ścianki kolankowe zakończone wieńcem żelbetowym z zabetonowanymi kotwami do zamocowania murłat,</p><p>wymurowane ściany szczytowe,</p><p>wymurowane kominy do pełnej wysokości.</p><p>Ułożenie izolacji przeciwwilgociowej na wieńcach z dwóch warstw papy podkładowej pod murłaty.</p><p>Zamocowanie murłat na kotwach nakrętkami z dużymi podkładkami.</p><p>Przygotowanie krokwi przez wykonanie zaciosów w miejscu oparcia na murłacie i na złączeniu w kalenicy.  Skrajne widoczne krokwie przed zamontowaniem należy ostrugać i pokryć impregnatem dekoracyjnym.</p><p>Zamocowanie krokwi na dachu i prowizoryczne ich usztywnienie przybitymi deskami.</p><p>Zamocowanie jętek łączących poszczególne pary krokwi. 6. Zamontowanie konstrukcji daszków nad gankiem i wykuszem.</p><p>Wyrównanie krawędzi ścian szczytowych do wysokości</p><p>dolnej powierzchni krokwi i przyklejenie na wierzchu ściany ocieplenia ze styropianu.</p><p>Ułożenie folii paroprzepuszczalnej i zamocowanie jej do krokwi przez kontrłaty.</p><p>Równocześnie z mocowaniem folii należy przybijać łaty pod pokrycie, co umożliwi bezpieczne chodzenie po dachu.</p><p>Wykonanie obróbek blacharskich wzdłuż okapu, zamocowanie uchwytów do rynien i taśmy wentylacyjnej.</p><p>Ułożenie dachówek cementowych rzędami wzdłuż okapu.</p><p>Wykonanie obróbek blacharskich wokół kominów.</p><p>Zamocowanie elementów wentylacji kalenicowej i gąsiorów.</p>",,
,,etapy przy wkładaniu okna na dachu przy pokryciu dachówką,zB_DACH,,,"<p>Kolejność prac przy osadzeniu włazu dachowego/okna połaciowego na dachu krokwiowo-płatwiowym pokrytym dachówką</p><p>Okna dachowe mogą być montowane w każdej konstrukcji dachu. Wystarczy pozostawić odpowiedniej wielkości otwór na okno. Instalacja okna w drewnianej więźbie poza wycięciem łat nie wiąże się najczęściej z koniecznością ingerencji w konstrukcję dachu.</p><p>Montaż na krokwiach. Najprościej montuje się okna, które mieszczą się między dwiema sąsiednimi</p><p>krokwiami. Przy zakupie okien połaciowych zwróćmy więc uwagę na rozstaw krokwi. Najlepiej jeśli szerokość okien będzie o ok. 5 cm mniejsza niż ta odległość (producenci oferują okna w rozmiarach dostosowanych do powszechnie stosowanych odległości między krokwiami).</p><p>Montaż na łatach. Polecany, gdy szerokość okna jest znacznie mniejsza niż rozstaw krokwi. Okno mocowane jest do łat przykręcanych do konstrukcji dachu. Montaż jest szybki i prosty, a ponadto daje możliwość przesuwania okna w poziomie podczas dopasowywania jego miejsca montowania.</p><p>Montaż na wymianach. Umożliwia wstawienie okna szerszego niż rozstaw krokwi, ale wymaga wycięcia fragmentu jednej krokwi. Obciążenie spowodowane przez okno przenoszone jest przez tzw. wymiany, czyli poziome belki usytuowane w odległości 30–50 cm od dolnej i górnej krawędzi okna.</p><p>1. Wycinanie otworu w dachu. W tym celu konieczne jest rozcięcie folii dachowej, zdjęcie fragmentu pokrycia dachowego oraz wycięcie łat w obrębie otworu.</p><p>2. Przykręcanie dodatkowych łat. Do krokwi mocujemy dolną i górną łatę, na których będziemy montować okno. Uwaga! Łata dolna musi być bardzo dokładnie wypoziomowana.</p><p>3. Osadzenie ościeżnicy: Do ościeżnicy okna przykręcamy kątowniki montażowe, a następnie umieszczamy ją w przygotowanym otworze. Rowek na ościeżnicy oznaczający wybraną głębokość montażu okna powinien pokrywać się z górną powierzchnią łat. Nad oknem montujemy rynienkę odwadniającą. Przykręcamy dolne kątowniki mocujące ościeżnicę do łaty oraz wkładamy skrzydło okienne, aby sprawdzić, czy poziome i pionowe szczeliny między skrzydłem i ościeżnicą są jednakowe na całym jego obwodzie. Następnie przykręcamy do łaty kątowniki górne i wyjmujemy skrzydło.</p><p>4. Przestrzeń między ościeżnicą a łatami montażowymi wypełniamy materiałem termoizolacyjnym (może znajdować się w zestawie izolacyjnym dołączonym przez producenta). Następnie wypełniamy pozostałą przestrzeń wokół okna – między ościeżnicą a krokwiami, warkoczem z naturalnej wełny owczej.</p><p>5. Zakładanie kołnierza paroprzepuszczalnego (uszczelniającego). Zapewni on szczelne połączenie okna z folię wstępnego krycia i będzie chronił materiał termoizolacyjny przed zawilgoceniem (kołnierz także może znajdować się w zestawie izolacyjnym). Montaż kołnierza zaczynamy od zamontowania dolnego elementu z fartuchem elastycznym. Następnie mocujemy boczne elementy kołnierza.</p><p>6. Prace wykończeniowe. Przykręcamy kaptur okna i górny element kołnierza. Następnie układamy pokrycie dachowe wokół okna.</p><p>7. Włożenie skrzydła okiennego oraz uzupełnienie pokrycia dachówką</p><p>Źródło: materiały własne</p>",,
,,Główna próba szczelności – wnioski,zB_DACH,,,"<p>W przypadku:</p><p>wykonania nowej instalacji gazowej,</p><p>jej przebudowy lub remontu,</p><p>wyłączenia jej z użytkowania na okres dłuższy niż 6 miesięcy</p><p>- należy przed przekazaniem jej do użytkowania przeprowadzić główną próbę szczelności.</p><p>Główną próbę szczelności przeprowadza się odrębnie dla części instalacji przed gazomierzami oraz odrębnie dla pozostałej części instalacji z pominięciem gazomierzy.</p><p>Główną próbę szczelności przeprowadza się na instalacji nie posiadającej zabezpieczenia antykorozyjnego, po jej oczyszczeniu, zaślepieniu końcówek, otwarciu kurków i odłączeniu odbiorników gazu.</p><p>Manometr użyty do przeprowadzenia głównej próby szczelności powinien spełniać wymagania klasy 0,6 i posiadać świadectwo legalizacji.</p><p>Zakres pomiarowy manometru powinien wynosić:</p><p>1) 0-0,06 MPa w przypadku ciśnienia próbnego wynoszącego 0,05 MPa, 2) 0-0,16 MPa w przypadku ciśnienia próbnego wynoszącego 0,1 MPa.</p><p>Ciśnienie czynnika próbnego w czasie przeprowadzania głównej próby szczelności powinno wynosić 0,05 MPa.</p><p>Dla instalacji lub jej części znajdującej się w pomieszczeniu mieszkalnym lub w pomieszczeniu zagrożonymwybuchem ciśnienie czynnika próbnego powinno wynosić 0,1 MPa.</p><p>Wynik głównej próby szczelności uznaje się za pozytywny, jeżeli w czasie 30 minut od ustabilizowania sięciśnienia czynnika próbnego nie nastąpi spadek ciśnienia.</p><p>Z przeprowadzenia głównej próby szczelności sporządza się protokół, który powinien być podpisany przezwłaściciela budynku oraz wykonawcę instalacji gazowej.</p>",,
,,Jak montować blachę trapezową (majster 639 dokładne rysunki i opis),zB_DACH,,,"<p>Arkusze blachy trapezowej mocuje się do łat wkrętami z plastikowymi uszczelkami, podobnie jak blachodachówkę. Blachę trapezową trzeba układać do góry tą stroną, która ma węższe rowki – dzięki temu woda będzie szybciej odprowadzana z powierzchni dachu. Kolejne arkusze układa się, robiąc zakład na szerokość co najmniej jednego tłoczenia.</p><p>Jeśli blacha trapezowa ma rowek kapilarny, należy go przykrywać sąsiednim arkuszem blachy.</p><p>Do przykręcania blach profilowanych trzeba używać tak zwanych wkrętów farmerskich z gumowymi uszczelkami. Pozostałe są niedopuszczalne. Przez nieuszczelniony otwór mogłaby wciekać woda. Uszczelka prawidłowo zamocowanego wkrętu farmerskiego powinna nieco wystawać ponad jego łebek. Newralgicznym miejscem połaci jest też kosz dachowy. Ogromne znaczenie ma tu odstęp między krawędziami pokrycia</p><p>zbiegających się połaci. Nie może być on</p><p>zbyt mały. Kosz jest wtedy zbyt wąski i powstają trudności z odbieraniem</p><p>wody spływającej z dachu. Przy koszu o szerokości około 30 cm odstęp nie może być mniejszy niż 20 cm.</p><p>Zasady przykręcania blachy proflowanej</p><p>do montażu blachy profilowanej służą wkrety długie (35 mm) i wkręty krótkie (20 mm). Wkrętami długimi mocuje się blachę do konstrukcji dachu; mocuje się je w dole fali. Wkręty krótkie stosuje się do łączenia krawędzi (arkuszy) blachy i umieszcza się je w górze fali.</p><p>podczas montażu blachy profilowanej wkręty umieszcza się wzdłuż kalenicy, wzdłuż bocznej krawędzi, na połaci, wzdłuż okapu (wkręty powinny być umieszczone w dole fali) oraz na łączeniu podłużnym i poprzecznym arkuszy blachy (wkręty w górze fali).</p>",,
,,Jak sprawdzić szczelność pokrycia dachowego?,zB_DACH,,,<p>Polewanie 15 minut.</p>,,
